T12,Intentional homicides and other crimes,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
202,Sub-Saharan Africa,2010,"Intentional homicide rates per 100,000",13.8,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
202,Sub-Saharan Africa,2010,"Percentage of male and female intentional homicide victims, Male",22.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
202,Sub-Saharan Africa,2010,"Percentage of male and female intentional homicide victims, Female",5.2,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
202,Sub-Saharan Africa,2015,"Intentional homicide rates per 100,000",13.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
202,Sub-Saharan Africa,2015,"Percentage of male and female intentional homicide victims, Male",22.8,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
202,Sub-Saharan Africa,2015,"Percentage of male and female intentional homicide victims, Female",5.2,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
202,Sub-Saharan Africa,2021,"Intentional homicide rates per 100,000",14.1,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
202,Sub-Saharan Africa,2021,"Percentage of male and female intentional homicide victims, Male",23.2,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
202,Sub-Saharan Africa,2021,"Percentage of male and female intentional homicide victims, Female",5.1,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
19,Americas,2005,"Intentional homicide rates per 100,000",14.8,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
19,Americas,2005,"Percentage of male and female intentional homicide victims, Male",26.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
19,Americas,2005,"Percentage of male and female intentional homicide victims, Female",3.2,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
19,Americas,2010,"Intentional homicide rates per 100,000",16.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
19,Americas,2010,"Percentage of male and female intentional homicide victims, Male",30.2,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
19,Americas,2010,"Percentage of male and female intentional homicide victims, Female",3.4,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
19,Americas,2015,"Intentional homicide rates per 100,000",16.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
19,Americas,2015,"Percentage of male and female intentional homicide victims, Male",29.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
19,Americas,2015,"Percentage of male and female intentional homicide victims, Female",3.3,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
19,Americas,2021,"Intentional homicide rates per 100,000",15.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
19,Americas,2021,"Percentage of male and female intentional homicide victims, Male",26.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
19,Americas,2021,"Percentage of male and female intentional homicide victims, Female",3.4,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
21,Northern America,2005,"Intentional homicide rates per 100,000",5.4,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
21,Northern America,2005,"Percentage of male and female intentional homicide victims, Male",8.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
21,Northern America,2005,"Percentage of male and female intentional homicide victims, Female",2.3,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
21,Northern America,2010,"Intentional homicide rates per 100,000",4.4,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
21,Northern America,2010,"Percentage of male and female intentional homicide victims, Male",7.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
21,Northern America,2010,"Percentage of male and female intentional homicide victims, Female",2.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
21,Northern America,2015,"Intentional homicide rates per 100,000",4.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
21,Northern America,2015,"Percentage of male and female intentional homicide victims, Male",7.3,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
21,Northern America,2015,"Percentage of male and female intentional homicide victims, Female",1.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
21,Northern America,2021,"Intentional homicide rates per 100,000",6.3,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
21,Northern America,2021,"Percentage of male and female intentional homicide victims, Male",10.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
21,Northern America,2021,"Percentage of male and female intentional homicide victims, Female",2.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
419,Latin America & the Caribbean,2005,"Intentional homicide rates per 100,000",20.3,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
419,Latin America & the Caribbean,2005,"Percentage of male and female intentional homicide victims, Male",37.4,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
419,Latin America & the Caribbean,2005,"Percentage of male and female intentional homicide victims, Female",3.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
419,Latin America & the Caribbean,2010,"Intentional homicide rates per 100,000",23.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
419,Latin America & the Caribbean,2010,"Percentage of male and female intentional homicide victims, Male",43.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
419,Latin America & the Caribbean,2010,"Percentage of male and female intentional homicide victims, Female",4.2,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
419,Latin America & the Caribbean,2015,"Intentional homicide rates per 100,000",22.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
419,Latin America & the Caribbean,2015,"Percentage of male and female intentional homicide victims, Male",41.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
419,Latin America & the Caribbean,2015,"Percentage of male and female intentional homicide victims, Female",4.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
419,Latin America & the Caribbean,2021,"Intentional homicide rates per 100,000",19.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
419,Latin America & the Caribbean,2021,"Percentage of male and female intentional homicide victims, Male",36.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
419,Latin America & the Caribbean,2021,"Percentage of male and female intentional homicide victims, Female",3.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
142,Asia,2005,"Intentional homicide rates per 100,000",3.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
142,Asia,2005,"Percentage of male and female intentional homicide victims, Male",4.1,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
142,Asia,2005,"Percentage of male and female intentional homicide victims, Female",1.8,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
142,Asia,2010,"Intentional homicide rates per 100,000",2.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
142,Asia,2010,"Percentage of male and female intentional homicide victims, Male",3.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
142,Asia,2010,"Percentage of male and female intentional homicide victims, Female",1.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
142,Asia,2015,"Intentional homicide rates per 100,000",2.4,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
142,Asia,2015,"Percentage of male and female intentional homicide victims, Male",3.2,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
142,Asia,2015,"Percentage of male and female intentional homicide victims, Female",1.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
142,Asia,2021,"Intentional homicide rates per 100,000",2.3,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
142,Asia,2021,"Percentage of male and female intentional homicide victims, Male",3.2,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
142,Asia,2021,"Percentage of male and female intentional homicide victims, Female",1.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
143,Central Asia,2005,"Intentional homicide rates per 100,000",6.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
143,Central Asia,2005,"Percentage of male and female intentional homicide victims, Male",10.2,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
143,Central Asia,2005,"Percentage of male and female intentional homicide victims, Female",3.3,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
143,Central Asia,2010,"Intentional homicide rates per 100,000",5.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
143,Central Asia,2010,"Percentage of male and female intentional homicide victims, Male",7.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
143,Central Asia,2010,"Percentage of male and female intentional homicide victims, Female",2.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
143,Central Asia,2015,"Intentional homicide rates per 100,000",2.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
143,Central Asia,2015,"Percentage of male and female intentional homicide victims, Male",3.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
143,Central Asia,2015,"Percentage of male and female intentional homicide victims, Female",1.4,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
143,Central Asia,2021,"Intentional homicide rates per 100,000",1.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
143,Central Asia,2021,"Percentage of male and female intentional homicide victims, Male",2.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
143,Central Asia,2021,"Percentage of male and female intentional homicide victims, Female",1.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
30,Eastern Asia,2005,"Intentional homicide rates per 100,000",1.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
30,Eastern Asia,2010,"Intentional homicide rates per 100,000",1.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
30,Eastern Asia,2015,"Intentional homicide rates per 100,000",0.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
30,Eastern Asia,2021,"Intentional homicide rates per 100,000",0.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
35,South-eastern Asia,2005,"Intentional homicide rates per 100,000",2.8,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
35,South-eastern Asia,2005,"Percentage of male and female intentional homicide victims, Male",4.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
35,South-eastern Asia,2005,"Percentage of male and female intentional homicide victims, Female",1.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
35,South-eastern Asia,2010,"Intentional homicide rates per 100,000",2.8,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
35,South-eastern Asia,2010,"Percentage of male and female intentional homicide victims, Male",4.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
35,South-eastern Asia,2010,"Percentage of male and female intentional homicide victims, Female",1.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
35,South-eastern Asia,2015,"Intentional homicide rates per 100,000",2.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
35,South-eastern Asia,2015,"Percentage of male and female intentional homicide victims, Male",4.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
35,South-eastern Asia,2015,"Percentage of male and female intentional homicide victims, Female",0.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
35,South-eastern Asia,2021,"Intentional homicide rates per 100,000",3.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
35,South-eastern Asia,2021,"Percentage of male and female intentional homicide victims, Male",6.3,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
35,South-eastern Asia,2021,"Percentage of male and female intentional homicide victims, Female",1.1,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
34,Southern Asia,2005,"Intentional homicide rates per 100,000",3.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
34,Southern Asia,2005,"Percentage of male and female intentional homicide victims, Male",5.2,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
34,Southern Asia,2005,"Percentage of male and female intentional homicide victims, Female",2.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
34,Southern Asia,2010,"Intentional homicide rates per 100,000",3.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
34,Southern Asia,2010,"Percentage of male and female intentional homicide victims, Male",5.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
34,Southern Asia,2010,"Percentage of male and female intentional homicide victims, Female",2.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
34,Southern Asia,2015,"Intentional homicide rates per 100,000",3.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
34,Southern Asia,2015,"Percentage of male and female intentional homicide victims, Male",4.3,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
34,Southern Asia,2015,"Percentage of male and female intentional homicide victims, Female",2.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
34,Southern Asia,2021,"Intentional homicide rates per 100,000",3.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
34,Southern Asia,2021,"Percentage of male and female intentional homicide victims, Male",3.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
34,Southern Asia,2021,"Percentage of male and female intentional homicide victims, Female",2.4,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
145,Western Asia,2005,"Intentional homicide rates per 100,000",5.2,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
145,Western Asia,2005,"Percentage of male and female intentional homicide victims, Male",7.8,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
145,Western Asia,2005,"Percentage of male and female intentional homicide victims, Female",2.3,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
145,Western Asia,2010,"Intentional homicide rates per 100,000",3.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
145,Western Asia,2010,"Percentage of male and female intentional homicide victims, Male",5.4,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
145,Western Asia,2010,"Percentage of male and female intentional homicide victims, Female",1.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
145,Western Asia,2015,"Intentional homicide rates per 100,000",4.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
145,Western Asia,2015,"Percentage of male and female intentional homicide victims, Male",7.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
145,Western Asia,2015,"Percentage of male and female intentional homicide victims, Female",2.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
145,Western Asia,2021,"Intentional homicide rates per 100,000",5.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
145,Western Asia,2021,"Percentage of male and female intentional homicide victims, Male",8.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
145,Western Asia,2021,"Percentage of male and female intentional homicide victims, Female",1.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
150,Europe,2005,"Intentional homicide rates per 100,000",6.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
150,Europe,2005,"Percentage of male and female intentional homicide victims, Male",9.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
150,Europe,2005,"Percentage of male and female intentional homicide victims, Female",3.4,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
150,Europe,2010,"Intentional homicide rates per 100,000",3.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
150,Europe,2010,"Percentage of male and female intentional homicide victims, Male",5.2,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
150,Europe,2010,"Percentage of male and female intentional homicide victims, Female",1.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
150,Europe,2015,"Intentional homicide rates per 100,000",3.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
150,Europe,2015,"Percentage of male and female intentional homicide victims, Male",5.2,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
150,Europe,2015,"Percentage of male and female intentional homicide victims, Female",1.8,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed June 2023."
